Xgen2g_56_210x70lammps.data (written by ASE)

6459	atoms
1	atom types
0.0	210	xlo xhi
0.0	70	ylo yhi
0.0	10	zlo zhi


Atoms

	72	1 145.600261 52.7682349 5
	73	1 141.562213 55.1821276 5
	74	1 144.319954 52.4591412 5
	75	1 143.421219 53.3706766 5
	76	1 133.181116 62.7648724 5
	77	1 134.156907 61.9675066 5
	78	1 135.440011 69.8758898 5
	79	1 133.326142 64.0744705 5
	80	1 134.570277 64.6037567 5
	81	1 79.0817719 68.4897728 5
	82	1 93.4616255 18.4808773 5
	83	1 93.80233 19.6356844 5
	84	1 95.7973721 23.7056002 5
	85	1 97.0535703 22.6096166 5
	86	1 98.2481948 23.2775758 5
	87	1 96.4471698 24.9652735 5
	88	1 97.8705908 24.9691114 5
	89	1 94.879993 15.221 5
	90	1 96.1918398 15.5382046 5
	91	1 96.5762589 16.6908808 5
	92	1 95.6141049 17.7429666 5
	93	1 93.9702138 16.2772761 5
	94	1 94.3687948 17.4579258 5
	95	1 91.912669 10.068544 5
	96	1 93.1069766 10.2857723 5
	97	1 102.481768 5.99957918 5
	98	1 100.274032 7.28143745 5
	99	1 105.89265 4.82548819 5
	100	1 103.433318 3.92592769 5
	101	1 169.69063 32.6523176 5
	102	1 127.382992 2.26967568 5
	103	1 133.256889 2.78068181 5
	104	1 134.492482 4.7658526 5
	105	1 133.350139 4.18806824 5
	106	1 124.26591 7.80129409 5
	107	1 123.902465 10.452126 5
	108	1 125.352484 8.67743304 5
	109	1 125.237868 9.79973576 5
	110	1 128.268171 18.137251 5
	111	1 128.717675 11.843984 5
	112	1 129.97232 12.8829375 5
	113	1 131.931024 23.4586173 5
	114	1 135.173896 21.1597982 5
	115	1 134.087659 20.6967503 5
	116	1 132.96521 21.4131022 5
	117	1 133.079216 22.7577804 5
	118	1 138.360995 19.0086257 5
	119	1 136.18906 20.5125275 5
	120	1 131.769386 17.0015938 5
	121	1 130.936609 15.5105009 5
	122	1 130.486551 18.0580774 5
	123	1 129.376451 17.4576536 5
	124	1 129.34914 16.2240946 5
	125	1 134.867031 18.5128323 5
	126	1 136.139108 19.0613679 5
	127	1 137.094775 18.4367899 5
	128	1 137.061474 17.0207985 5
	129	1 135.742661 15.0592088 5
	130	1 135.769028 16.4215884 5
	131	1 134.826952 17.0587779 5
	132	1 133.455473 16.4777329 5
	133	1 134.527934 13.0581019 5
